1	3	1
1	1	1
2	1	2
5	1	2
0	0	0
0	1	1
0	3	1
5	3	2
5	2	2
3	1	2
0	0	0
1	0	1
2	0	2
3	0	2
1	0	2
13	3	2
8	4	2
13	0	2
10	2	2
14	0	2
3	3	2
3	3	2
1	4	1
1	0	1
2	1	2
2	1	2
11	2	2
12	6	2
6	5	2
1	2	1
13	6	2
4	0	2
3	1	0
4	3	2
2	0	2
1	0	2
2	1	1
1	0	2
6	1	2
7	0	2
10	4	2
5	2	2
14	3	2
11	2	2
2	0	2
8	0	2
4	0	2
6	0	2
20	5	2
1	1	1
9	1	2
2	2	0
6	2	0
4	2	2
2	4	1
12	3	2
3	3	1
3	1	2
3	0	2
0	0	0
2	0	2
1	0	2
6	0	2
4	0	2
4	0	2
7	1	2
9	0	2
2	2	1
6	2	2
3	1	1
1	0	2
6	1	2
2	4	1
7	5	1
2	0	2
2	1	2
1	2	1
4	2	2
9	1	2
8	0	2
7	3	2
4	3	1
3	0	2
2	2	1
4	3	2
0	4	1
4	3	1
3	0	2
7	1	2
15	7	2
2	0	2
7	2	2
4	1	2
6	1	2
10	5	2
6	2	2
7	1	2
4	0	2
15	3	2
5	1	2
5	1	2
0	0	2
3	0	2
5	2	2
3	1	0
5	1	2
5	1	2
8	2	2
8	2	2
10	1	2
9	1	2
6	1	2
7	1	2
3	0	2
4	1	2
2	1	1
2	0	2
1	0	2
6	0	2
3	14	1
2	0	2
2	2	2
2	1	1
6	0	2
2	1	1
5	0	2
5	2	2
9	1	2
4	2	1
2	2	1
8	2	2
14	3	2
6	2	2
4	2	1
5	4	1
7	2	2
5	1	2
1	2	1
6	1	2
2	1	2
3	1	0
10	3	2
16	6	2
3	1	2
4	3	1
9	4	1
2	0	2
23	7	2
2	0	2
2	1	2
37	24	1
21	16	2
4	5	1
3	1	2
2	1	2
8	1	2
22	7	2
1	1	2
4	0	2
6	2	2
3	3	1
2	1	1
15	2	2
3	1	2
3	0	2
8	1	2
23	6	2
6	0	2
5	2	2
7	2	2
5	0	2
11	7	2
12	1	2
5	1	2
9	7	0
3	3	1
7	5	1
18	2	2
7	2	2
5	1	2
5	1	2
5	10	1
5	4	1
9	1	2
2	0	2
2	0	2
3	2	1
5	2	2
5	1	2
2	0	2
3	0	2
4	1	2
5	1	2
14	2	2
15	3	2
6	1	2
7	5	1
10	1	2
7	2	2
6	4	0
5	2	2
5	2	2
2	2	1
10	0	2
4	1	2
6	0	2
1	0	2
4	0	2
13	3	2
2	0	2
12	4	2
2	0	2
2	0	2
16	1	2
7	1	2
8	3	2
4	0	2
9	0	2
2	1	2
8	1	2
44	14	2
18	3	2
10	0	2
15	2	2
13	1	2
15	9	2
11	0	2
14	1	2
11	2	2
16	3	2
4	3	2
5	0	2
0	2	1
7	4	2
9	0	2
6	1	2
3	1	2
4	3	0
6	3	1
2	0	2
3	2	1
3	0	2
11	7	2
8	0	2
6	1	2
5	0	2
8	0	2
4	2	2
6	0	2
6	1	2
6	2	2
10	1	2
1	0	2
8	0	2
3	0	2
6	1	2
1	0	1
7	0	2
11	4	2
14	2	2
16	2	2
7	2	2
3	1	0
2	1	2
3	0	2
18	9	2
2	0	2
5	1	2
9	1	2
3	0	2
2	0	2
3	5	1
2	0	2
9	2	2
5	0	2
22	1	2
6	0	2
6	0	2
5	0	2
6	2	2
3	5	1
2	0	2
9	2	2
5	0	2
22	1	2
6	0	2
6	0	2
5	0	2
6	2	2
16	5	2
5	3	1
1	0	2
5	1	2
8	1	2
7	1	2
5	3	1
4	2	0
42	5	2
17	4	2
48	18	2
12	4	2
9	7	1
4	0	2
11	0	2
6	5	1
5	1	2
12	4	2
6	0	2
3	1	0
5	4	2
17	2	2
0	0	0
4	0	2
12	2	2
2	1	2
21	3	2
21	4	2
5	0	2
7	0	2
4	0	2
5	0	2
6	2	2
25	3	2
29	10	2
2	0	2
9	3	2
37	13	2
28	5	2
10	2	2
9	1	2
10	3	2
6	3	1
4	1	2
1	3	1
5	2	1
6	1	2
8	0	2
3	0	2
4	0	2
6	2	0
12	1	2
2	2	1
19	6	2
5	1	2
4	1	2
3	2	1
3	0	2
3	0	2
3	0	2
9	5	0
6	1	2
8	1	2
6	0	2
13	4	2
0	0	1
21	3	2
12	3	2
15	2	2
1	0	2
5	0	2
19	1	2
5	2	2
25	2	2
8	2	2
12	2	2
4	1	2
22	4	2
9	1	2
11	0	2
5	1	2
19	3	2
7	7	0
4	2	0
6	1	2
6	1	2
15	2	2
4	1	2
2	1	1
4	1	2
3	3	1
5	1	2
11	2	2
6	1	2
6	0	2
15	4	2
15	3	2
11	3	2
11	2	2
37	10	2
20	7	2
6	0	2
21	4	2
24	5	2
11	2	2
3	2	2
8	1	2
5	0	2
8	2	2
16	2	2
8	1	2
13	6	2
20	5	2
10	2	2
16	2	2
9	1	2
8	1	2
1	1	1
6	4	1
7	0	2
19	2	2
15	3	2
11	2	2
19	5	2
35	5	2
25	0	2
8	2	2
7	3	2
12	0	2
21	2	2
23	1	2
8	1	2
6	1	2
12	0	2
3	0	2
7	1	2
12	1	2
4	2	2
18	3	2
6	0	2
9	5	2
9	2	2
4	1	2
9	0	2
5	0	2
27	6	2
4	1	2
22	5	2
8	0	2
4	1	2
4	1	2
12	3	2
49	8	2
11	2	2
11	4	2
5	1	2
15	4	2
13	2	2
7	1	2
10	3	2
2	0	1
40	6	2
24	3	2
9	1	2
8	0	2
6	0	2
16	0	2
25	1	2
0	2	1
6	2	2
32	5	2
14	1	2
19	6	2
15	0	2
9	0	2
15	2	2
13	0	2
19	4	2
3	0	2
10	0	2
2	0	2
23	14	2
8	0	2
13	1	2
17	1	2
2	0	2
6	1	2
19	1	2
13	3	2
8	2	2
10	0	2
7	1	2
14	1	2
14	1	2
3	1	0
4	1	2
3	1	0
7	1	2
5	0	2
25	3	2
14	1	2
6	2	1
7	1	2
7	0	2
15	1	2
3	0	2
13	2	2
2	0	2
11	1	2
6	0	2
7	1	2
1	0	2
3	3	1
1	1	1
2	1	2
4	1	2
8	1	2
13	2	2
4	2	0
0	1	1
2	1	2
2	0	2
2	0	2
8	1	2
26	2	2
8	0	2
4	0	2
5	1	2
1	1	1
3	2	1
7	5	1
2	1	2
2	0	2
3	0	2
1	2	1
3	0	2
3	1	2
3	0	2
19	4	2
5	1	2
11	4	2
3	0	2
5	1	2
8	3	2
5	0	2
3	1	2
7	1	2
2	0	2
5	1	2
2	2	1
